target,id,question,question_concept,input,input_choices
C,1ab04c0501b815b2a48f2581f04215a8,"{'question_concept': 'heifer', 'choices': [{'label': 'A', 'text': 'home'}, {'label': 'B', 'text': 'dairy farm'}, {'label': 'C', 'text': 'cattle show'}, {'label': 'D', 'text': 'dairy barn'}, {'label': 'E', 'text': 'corral'}], 'stem': 'If a heifer is really high quality, you might take her where?'}",heifer,"If a heifer is really high quality, you might take her where?","A: home, B: dairy farm, C: cattle show, D: dairy barn, E: corral"
C,9808782b2e2e1bfbfa27c41e605bfffe,"{'question_concept': 'lemur', 'choices': [{'label': 'A', 'text': 'desert'}, {'label': 'B', 'text': 'hole'}, {'label': 'C', 'text': 'india'}, {'label': 'D', 'text': 'cage'}, {'label': 'E', 'text': 'rain forest'}], 'stem': 'Where might a lemur frolic in the market?'}",lemur,Where might a lemur frolic in the market?,"A: desert, B: hole, C: india, D: cage, E: rain forest"
C,e7084c166ec67d0f983a26e055e845c6,"{'question_concept': 'seaweed', 'choices': [{'label': 'A', 'text': 'beach'}, {'label': 'B', 'text': 'sea'}, {'label': 'C', 'text': 'ocean'}, {'label': 'D', 'text': 'water'}, {'label': 'E', 'text': 'sea plant'}], 'stem': 'where is seaweed from?'}",seaweed,where is seaweed from?,"A: beach, B: sea, C: ocean, D: water, E: sea plant"
D,ad37795fd9e3a65553683ff305b5113d,"{'question_concept': 'shore', 'choices': [{'label': 'A', 'text': 'picture of sea side'}, {'label': 'B', 'text': 'seaside town'}, {'label': 'C', 'text': 'beach'}, {'label': 'D', 'text': 'california'}, {'label': 'E', 'text': 'see side picture'}], 'stem': 'What western state has thousands of miles of shore?'}",shore,What western state has thousands of miles of shore?,"A: picture of sea side, B: seaside town, C: beach, D: california, E: see side picture"
A,6a884d5d8febfdd86fcf68ff1a904d9b,"{'question_concept': 'monument', 'choices': [{'label': 'A', 'text': 'municipal park'}, {'label': 'B', 'text': 'office'}, {'label': 'C', 'text': 'state park'}, {'label': 'D', 'text': 'cemetary'}, {'label': 'E', 'text': 'public gardens'}], 'stem': 'Where is a public monument likely to be erected by a city?'}",monument,Where is a public monument likely to be erected by a city?,"A: municipal park, B: office, C: state park, D: cemetary, E: public gardens"
D,a1303b5177df0a5b653c9abd7d5f5e08,"{'question_concept': 'bungalow', 'choices': [{'label': 'A', 'text': 'housing estate'}, {'label': 'B', 'text': 'neighborhood'}, {'label': 'C', 'text': 'mars'}, {'label': 'D', 'text': 'woods'}, {'label': 'E', 'text': 'suburbs'}], 'stem': 'Where would a person live if they wanted no neighbors?'}",bungalow,Where would a person live if they wanted no neighbors?,"A: housing estate, B: neighborhood, C: mars, D: woods, E: suburbs"
A,72baf6ca5c4daa01c2cc7fda22183db8,"{'question_concept': 'battle', 'choices': [{'label': 'A', 'text': 'court room'}, {'label': 'B', 'text': 'war'}, {'label': 'C', 'text': 'video game'}, {'label': 'D', 'text': 'iraq'}, {'label': 'E', 'text': 'church'}], 'stem': 'Where could there be a battle that involves words?'}",battle,Where could there be a battle that involves words?,"A: court room, B: war, C: video game, D: iraq, E: church"
C,e63a210053cf7f961ca0b5a7e6eb355d,"{'question_concept': 'bell', 'choices': [{'label': 'A', 'text': 'barbell'}, {'label': 'B', 'text': 'funnel'}, {'label': 'C', 'text': 'blunderbuss'}, {'label': 'D', 'text': 'wind instrument'}, {'label': 'E', 'text': 'kettlebell'}], 'stem': 'The end of the barrel of what primitive firearm is bell shaped?'}",bell,The end of the barrel of what primitive firearm is bell shaped?,"A: barbell, B: funnel, C: blunderbuss, D: wind instrument, E: kettlebell"
D,0e6a005eec5e6746f3facf4d608bfd8b,"{'question_concept': 'story', 'choices': [{'label': 'A', 'text': 'book or library'}, {'label': 'B', 'text': 'book or magazine'}, {'label': 'C', 'text': 'newspaper'}, {'label': 'D', 'text': 'past'}, {'label': 'E', 'text': 'future'}], 'stem': 'A story about World War II would be set when?'}",story,A story about World War II would be set when?,"A: book or library, B: book or magazine, C: newspaper, D: past, E: future"
A,2d2b69ad187b7c40273ab13caab7dc19,"{'question_concept': 'marmot', 'choices': [{'label': 'A', 'text': 'mountainous area'}, {'label': 'B', 'text': 'wood pile'}, {'label': 'C', 'text': 'jungle'}, {'label': 'D', 'text': 'petting zoo'}, {'label': 'E', 'text': 'animals'}], 'stem': 'What type of geographic area will you find a marmot?'}",marmot,What type of geographic area will you find a marmot?,"A: mountainous area, B: wood pile, C: jungle, D: petting zoo, E: animals"
A,083861fc5ebb9226fff70544f3f83d2b,"{'question_concept': 'pail', 'choices': [{'label': 'A', 'text': 'garage'}, {'label': 'B', 'text': 'hardware store'}, {'label': 'C', 'text': 'utility room'}, {'label': 'D', 'text': 'wishing well'}, {'label': 'E', 'text': 'laundry'}], 'stem': 'The man got a pail to catch the draining motor oil, where was he likely doing this at home?'}",pail,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?","A: garage, B: hardware store, C: utility room, D: wishing well, E: laundry"
E,d47986deb91d64b2b15d385da3d2f483,"{'question_concept': 'mound', 'choices': [{'label': 'A', 'text': 'hell'}, {'label': 'B', 'text': 'baseball stadium'}, {'label': 'C', 'text': 'golf course'}, {'label': 'D', 'text': 'africa'}, {'label': 'E', 'text': 'baseball diamond'}], 'stem': 'The pitcher stepped on the mound ready to throw, where was he located specifically?'}",mound,"The pitcher stepped on the mound ready to throw, where was he located specifically?","A: hell, B: baseball stadium, C: golf course, D: africa, E: baseball diamond"
A,81e016974d33fe383c848b6c819791cd,"{'question_concept': 'government', 'choices': [{'label': 'A', 'text': 'country'}, {'label': 'B', 'text': 'democracy'}, {'label': 'C', 'text': 'canada'}, {'label': 'D', 'text': 'civilization'}, {'label': 'E', 'text': 'tax office'}], 'stem': 'For what entity should the government work?'}",government,For what entity should the government work?,"A: country, B: democracy, C: canada, D: civilization, E: tax office"
A,bc268cd19e2c95c78967fd6b9092fb90,"{'question_concept': 'string', 'choices': [{'label': 'A', 'text': 'tie around'}, {'label': 'B', 'text': 'wind around'}, {'label': 'C', 'text': 'weave'}, {'label': 'D', 'text': 'stringbed'}, {'label': 'E', 'text': 'ball up'}], 'stem': 'I want to use string to keep something from moving, how should I do it?'}",string,"I want to use string to keep something from moving, how should I do it?","A: tie around, B: wind around, C: weave, D: stringbed, E: ball up"
D,0af371b94fb414860b13eea6009ccc31,"{'question_concept': 'sun', 'choices': [{'label': 'A', 'text': 'earth warming'}, {'label': 'B', 'text': 'sun tan'}, {'label': 'C', 'text': 'light'}, {'label': 'D', 'text': 'life on earth'}, {'label': 'E', 'text': 'heat'}], 'stem': 'What is the sun ultimately responsible for?'}",sun,What is the sun ultimately responsible for?,"A: earth warming, B: sun tan, C: light, D: life on earth, E: heat"
D,38e61d4be0da46b3cbbd76dc20bce677,"{'question_concept': 'train station', 'choices': [{'label': 'A', 'text': 'downtown area'}, {'label': 'B', 'text': 'centre of town'}, {'label': 'C', 'text': 'bedroom'}, {'label': 'D', 'text': 'europe'}, {'label': 'E', 'text': 'big city'}], 'stem': 'Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?'}",train station,Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?,"A: downtown area, B: centre of town, C: bedroom, D: europe, E: big city"
C,cebc07bd5080cc72862cb333b10d782d,"{'question_concept': 'animal', 'choices': [{'label': 'A', 'text': 'pet store'}, {'label': 'B', 'text': 'outside'}, {'label': 'C', 'text': 'woodland'}, {'label': 'D', 'text': 'ocean'}, {'label': 'E', 'text': 'cafe'}], 'stem': 'Joe is a  squirrel, which is an animal. He probably lives in what sort of place.'}",animal,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","A: pet store, B: outside, C: woodland, D: ocean, E: cafe"
C,de0386024f32cdf277a785a851b97544,"{'question_concept': 'ficus', 'choices': [{'label': 'A', 'text': 'cabin in the woods'}, {'label': 'B', 'text': 'california'}, {'label': 'C', 'text': 'front yard'}, {'label': 'D', 'text': 'conservatory'}, {'label': 'E', 'text': 'tropical forest'}], 'stem': 'Where could a personal ficus live?'}",ficus,Where could a personal ficus live?,"A: cabin in the woods, B: california, C: front yard, D: conservatory, E: tropical forest"
A,9b62cd7f89716f393239e6c6ff3e11d5,"{'question_concept': 'shark', 'choices': [{'label': 'A', 'text': 'court room'}, {'label': 'B', 'text': 'shallow waters'}, {'label': 'C', 'text': 'poker game'}, {'label': 'D', 'text': 'sea world'}, {'label': 'E', 'text': 'pond arena'}], 'stem': 'The shark actually counted as evidence, so where did the legal team bring it?'}",shark,"The shark actually counted as evidence, so where did the legal team bring it?","A: court room, B: shallow waters, C: poker game, D: sea world, E: pond arena"
E,8b25332de2894ab38784235838d38cec,"{'question_concept': 'snake', 'choices': [{'label': 'A', 'text': 'street'}, {'label': 'B', 'text': 'tropical forest'}, {'label': 'C', 'text': 'garden of eden'}, {'label': 'D', 'text': 'new mexico'}, {'label': 'E', 'text': 'white house'}], 'stem': 'If the president wanted to ban snakes, where would he issue such a decree?'}",snake,"If the president wanted to ban snakes, where would he issue such a decree?","A: street, B: tropical forest, C: garden of eden, D: new mexico, E: white house"
A,dd4a811d18549f1ae1954cf938b28536,"{'question_concept': 'rocks', 'choices': [{'label': 'A', 'text': 'ground'}, {'label': 'B', 'text': 'drawer'}, {'label': 'C', 'text': 'surface of earth'}, {'label': 'D', 'text': 'pizza'}, {'label': 'E', 'text': 'waterfall'}], 'stem': 'They were searching for rocks, so they missed the birds overhead as they stared at the what?'}",rocks,"They were searching for rocks, so they missed the birds overhead as they stared at the what?","A: ground, B: drawer, C: surface of earth, D: pizza, E: waterfall"
A,3b9ccdcb1c932c46a38e040d3e6c7f5b,"{'question_concept': 'statue', 'choices': [{'label': 'A', 'text': 'water fountain'}, {'label': 'B', 'text': 'large city'}, {'label': 'C', 'text': 'museum'}, {'label': 'D', 'text': 'pool'}, {'label': 'E', 'text': 'central park'}], 'stem': 'A statue that shoots liquid is called a what?'}",statue,A statue that shoots liquid is called a what?,"A: water fountain, B: large city, C: museum, D: pool, E: central park"
B,96cb628fb7ed2f53245598f707ed2b80,"{'question_concept': 'paint', 'choices': [{'label': 'A', 'text': 'clothes get stained'}, {'label': 'B', 'text': 'with brush'}, {'label': 'C', 'text': 'wallpaper'}, {'label': 'D', 'text': 'electrical circuit'}, {'label': 'E', 'text': 'draw'}], 'stem': 'John loved to paint houses.  How did he usually do it?'}",paint,John loved to paint houses.  How did he usually do it?,"A: clothes get stained, B: with brush, C: wallpaper, D: electrical circuit, E: draw"
E,6abd34442438509b4a00c69d6fd24764,"{'question_concept': 'gazelle', 'choices': [{'label': 'A', 'text': 'open field'}, {'label': 'B', 'text': 'ivory coast'}, {'label': 'C', 'text': 'dictionary'}, {'label': 'D', 'text': 'steppe'}, {'label': 'E', 'text': 'encyclopedia'}], 'stem': 'Where would you find gazelle under a G?'}",gazelle,Where would you find gazelle under a G?,"A: open field, B: ivory coast, C: dictionary, D: steppe, E: encyclopedia"
E,597d2a1c9df7962218d8b807df1f8212,"{'question_concept': 'sunshine', 'choices': [{'label': 'A', 'text': 'summer'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': 'desktop'}, {'label': 'D', 'text': 'sea'}, {'label': 'E', 'text': 'moon'}], 'stem': 'What blocks sunshine?'}",sunshine,What blocks sunshine?,"A: summer, B: park, C: desktop, D: sea, E: moon"
D,7400e9c4a2c8e600a0f7e2d162a07837,"{'question_concept': 'kitten', 'choices': [{'label': 'A', 'text': 'shelter'}, {'label': 'B', 'text': 'floor'}, {'label': 'C', 'text': 'warm place'}, {'label': 'D', 'text': 'farmhouse'}, {'label': 'E', 'text': 'living room'}], 'stem': ""If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?""}",kitten,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","A: shelter, B: floor, C: warm place, D: farmhouse, E: living room"
D,5ff8b0deed53b9ff91d58bd5b6f85bdf,"{'question_concept': 'farmer', 'choices': [{'label': 'A', 'text': 'seed plants'}, {'label': 'B', 'text': 'plant seeds'}, {'label': 'C', 'text': 'garden'}, {'label': 'D', 'text': 'grow corn'}, {'label': 'E', 'text': 'produce food'}], 'stem': 'What does a farmer need to do to make  a maze on his farm in the fall?'}",farmer,What does a farmer need to do to make  a maze on his farm in the fall?,"A: seed plants, B: plant seeds, C: garden, D: grow corn, E: produce food"
C,c0e4d0118c9cdfe2edc49ef954572b31,"{'question_concept': 'snake', 'choices': [{'label': 'A', 'text': 'sun itself'}, {'label': 'B', 'text': 'tropical forest'}, {'label': 'C', 'text': 'pet'}, {'label': 'D', 'text': 'rude'}, {'label': 'E', 'text': 'sharp'}], 'stem': 'John loved his snake.  It was the only ting he loved. He hated everyone else and was abrasive to most people, but he loved his snake.   How might you describe the snake?'}",snake,"John loved his snake.  It was the only ting he loved. He hated everyone else and was abrasive to most people, but he loved his snake.   How might you describe the snake?","A: sun itself, B: tropical forest, C: pet, D: rude, E: sharp"
C,9382bc51ba092f55a494eff8615899de,"{'question_concept': 'apple tree', 'choices': [{'label': 'A', 'text': 'woods'}, {'label': 'B', 'text': 'illinois'}, {'label': 'C', 'text': 'indiana'}, {'label': 'D', 'text': 'washington state'}, {'label': 'E', 'text': 'tampa'}], 'stem': 'I picked from an apple tree outside of Fort Wayne, where am I?'}",apple tree,"I picked from an apple tree outside of Fort Wayne, where am I?","A: woods, B: illinois, C: indiana, D: washington state, E: tampa"
C,2067720531fc03c017af941cec2f6f40,"{'question_concept': 'planet', 'choices': [{'label': 'A', 'text': 'pay debts'}, {'label': 'B', 'text': 'galaxy'}, {'label': 'C', 'text': 'outer space'}, {'label': 'D', 'text': 'orbit'}, {'label': 'E', 'text': 'universe'}], 'stem': 'Where is the first place someone leaving the planet ends up?'}",planet,Where is the first place someone leaving the planet ends up?,"A: pay debts, B: galaxy, C: outer space, D: orbit, E: universe"
D,4768aa28fa14569d830f8947565296c1,"{'question_concept': 'leader', 'choices': [{'label': 'A', 'text': 'army'}, {'label': 'B', 'text': 'battle'}, {'label': 'C', 'text': 'wildlife'}, {'label': 'D', 'text': 'country'}, {'label': 'E', 'text': 'organization'}], 'stem': 'What kind of place has a leader?'}",leader,What kind of place has a leader?,"A: army, B: battle, C: wildlife, D: country, E: organization"
E,caccaa51ee960a92d44e5b949fc35a66,"{'question_concept': 'blowfish', 'choices': [{'label': 'A', 'text': 'atlantic ocean'}, {'label': 'B', 'text': 'books'}, {'label': 'C', 'text': 'france'}, {'label': 'D', 'text': 'aquarium'}, {'label': 'E', 'text': 'fish market'}], 'stem': 'They wanted to try blowfish, so they went to get some where?'}",blowfish,"They wanted to try blowfish, so they went to get some where?","A: atlantic ocean, B: books, C: france, D: aquarium, E: fish market"
D,def936fda9f6ccee01f57c0f804fabd0,"{'question_concept': 'main artery', 'choices': [{'label': 'A', 'text': 'neck'}, {'label': 'B', 'text': 'busy city'}, {'label': 'C', 'text': 'own brain'}, {'label': 'D', 'text': 'thruway'}, {'label': 'E', 'text': 'food'}], 'stem': 'When a main artery is used to expedite travel what would it be referred to as?'}",main artery,When a main artery is used to expedite travel what would it be referred to as?,"A: neck, B: busy city, C: own brain, D: thruway, E: food"
D,26d7d59ef7b9f2e0c2d47419fa5bca91,"{'question_concept': 'field', 'choices': [{'label': 'A', 'text': 'kansas'}, {'label': 'B', 'text': 'meadow'}, {'label': 'C', 'text': 'farmland'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'rural area'}], 'stem': 'Where might you see a green field while driving?'}",field,Where might you see a green field while driving?,"A: kansas, B: meadow, C: farmland, D: countryside, E: rural area"
C,8ebf9d24719649a0b041aea02a6e46af,"{'question_concept': 'pond', 'choices': [{'label': 'A', 'text': 'ground'}, {'label': 'B', 'text': 'bathroom'}, {'label': 'C', 'text': 'forest'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'rural area'}], 'stem': 'If there is a pond with trees around it, where it it likely located?'}",pond,"If there is a pond with trees around it, where it it likely located?","A: ground, B: bathroom, C: forest, D: countryside, E: rural area"
A,c961578f4c5768b67b843e5d2ce18452,"{'question_concept': 'blowfish', 'choices': [{'label': 'A', 'text': 'sea water'}, {'label': 'B', 'text': 'hatred'}, {'label': 'C', 'text': 'fish market'}, {'label': 'D', 'text': 'body of water'}, {'label': 'E', 'text': 'jungle'}], 'stem': 'Blowfish require what specific thing to live?'}",blowfish,Blowfish require what specific thing to live?,"A: sea water, B: hatred, C: fish market, D: body of water, E: jungle"
B,c0e7fa3e39a2d9af2c323416015729dc,"{'question_concept': 'honey', 'choices': [{'label': 'A', 'text': 'last all night'}, {'label': 'B', 'text': 'beehive'}, {'label': 'C', 'text': ""farmer's market""}, {'label': 'D', 'text': 'jar'}, {'label': 'E', 'text': 'honeyful'}], 'stem': 'I am looking for honey right from the source, where should I look?'}",honey,"I am looking for honey right from the source, where should I look?","A: last all night, B: beehive, C: farmer's market, D: jar, E: honeyful"
E,c7327a1a7d12b6cc0740fc9446270e02,"{'question_concept': 'weasel', 'choices': [{'label': 'A', 'text': 'tree'}, {'label': 'B', 'text': 'mulberry bush'}, {'label': 'C', 'text': 'chicken coop'}, {'label': 'D', 'text': 'viking ship'}, {'label': 'E', 'text': 'rabbit warren'}], 'stem': 'A weasel has a thin body and short legs to easier burrow after prey in a what?'}",weasel,A weasel has a thin body and short legs to easier burrow after prey in a what?,"A: tree, B: mulberry bush, C: chicken coop, D: viking ship, E: rabbit warren"
C,7ea57ee4580042b0a6a40479c8ace3e4,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'pain'}, {'label': 'B', 'text': 'meaningful work'}, {'label': 'C', 'text': 'english house'}, {'label': 'D', 'text': 'cotton candy'}, {'label': 'E', 'text': 'headache'}], 'stem': 'What does a person from Avalon live in?'}",person,What does a person from Avalon live in?,"A: pain, B: meaningful work, C: english house, D: cotton candy, E: headache"
C,4d67cdb4ba1b0058e383c212303a9f4e,"{'question_concept': 'marmot', 'choices': [{'label': 'A', 'text': 'north america'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'vancouver island'}, {'label': 'D', 'text': 'american'}, {'label': 'E', 'text': 'cage'}], 'stem': 'Piece of land in Canada where you can find marmot?'}",marmot,Piece of land in Canada where you can find marmot?,"A: north america, B: united states, C: vancouver island, D: american, E: cage"
A,456f2fb41cac8c028dcfe2f48637e473,"{'question_concept': 'fox', 'choices': [{'label': 'A', 'text': 'storybook'}, {'label': 'B', 'text': 'woods'}, {'label': 'C', 'text': 'hen house'}, {'label': 'D', 'text': 'natural habitat'}, {'label': 'E', 'text': 'back yard'}], 'stem': 'Where would you find a fox that is made up?'}",fox,Where would you find a fox that is made up?,"A: storybook, B: woods, C: hen house, D: natural habitat, E: back yard"
B,3df1b88da6a90c9526be2c8a6cc736dc,"{'question_concept': 'dog', 'choices': [{'label': 'A', 'text': 'kennel'}, {'label': 'B', 'text': 'table'}, {'label': 'C', 'text': 'porch'}, {'label': 'D', 'text': 'backyard'}, {'label': 'E', 'text': 'park'}], 'stem': ""Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?""}",dog,Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?,"A: kennel, B: table, C: porch, D: backyard, E: park"
D,a7e3de0719fe30e7048f67426e29fdd1,"{'question_concept': 'channel', 'choices': [{'label': 'A', 'text': 'river'}, {'label': 'B', 'text': 'television'}, {'label': 'C', 'text': 'india'}, {'label': 'D', 'text': 'england'}, {'label': 'E', 'text': 'europe'}], 'stem': 'James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?'}",channel,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"A: river, B: television, C: india, D: england, E: europe"
E,ab2eb930b29bb6d5e94a6cd3b04ba01e,"{'question_concept': 'dogs', 'choices': [{'label': 'A', 'text': 'bad breath'}, {'label': 'B', 'text': 'defend'}, {'label': 'C', 'text': 'run fast'}, {'label': 'D', 'text': 'ocean'}, {'label': 'E', 'text': 'attack'}], 'stem': 'The dogs were protecting their own when they decided to what the bad man?'}",dogs,The dogs were protecting their own when they decided to what the bad man?,"A: bad breath, B: defend, C: run fast, D: ocean, E: attack"
E,92869fc0be5dc45f407700692ffd80a0,"{'question_concept': 'wheat', 'choices': [{'label': 'A', 'text': ""farmer's field""}, {'label': 'B', 'text': 'countryside'}, {'label': 'C', 'text': 'cereal packets'}, {'label': 'D', 'text': 'bread'}, {'label': 'E', 'text': 'mill'}], 'stem': 'What is used to grind wheat for bread?'}",wheat,What is used to grind wheat for bread?,"A: farmer's field, B: countryside, C: cereal packets, D: bread, E: mill"
A,912676495cceefadccbbf8c604486f97,"{'question_concept': 'bee', 'choices': [{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'space station'}, {'label': 'C', 'text': 'trash can'}, {'label': 'D', 'text': 'field of flowers'}, {'label': 'E', 'text': 'bouquet of flowers'}], 'stem': 'What very large group of western citizens has bees everywhere?'}",bee,What very large group of western citizens has bees everywhere?,"A: united states, B: space station, C: trash can, D: field of flowers, E: bouquet of flowers"
A,93bbaccb1c46d22124a846b8514de5bc,"{'question_concept': 'bald eagle', 'choices': [{'label': 'A', 'text': 'washington state'}, {'label': 'B', 'text': 'utah'}, {'label': 'C', 'text': 'pacific northwest'}, {'label': 'D', 'text': 'northern california'}, {'label': 'E', 'text': 'the desert'}], 'stem': ""The bald eagle flew from Mount St Helen's to the Puget Sound and all over what?""}",bald eagle,The bald eagle flew from Mount St Helen's to the Puget Sound and all over what?,"A: washington state, B: utah, C: pacific northwest, D: northern california, E: the desert"
C,896b25dc41f84357add1c798d4a96cd8,"{'question_concept': 'seaweed', 'choices': [{'label': 'A', 'text': 'ocean'}, {'label': 'B', 'text': 'found in ocean'}, {'label': 'C', 'text': 'water'}, {'label': 'D', 'text': 'found in sea'}, {'label': 'E', 'text': 'beach'}], 'stem': 'Where is seaweed usually found alive?'}",seaweed,Where is seaweed usually found alive?,"A: ocean, B: found in ocean, C: water, D: found in sea, E: beach"
E,1ca3cd9475d7e9da2ddb74911ee2bb68,"{'question_concept': 'lizard', 'choices': [{'label': 'A', 'text': 'documentary'}, {'label': 'B', 'text': 'costa rica'}, {'label': 'C', 'text': 'garden'}, {'label': 'D', 'text': 'encouragement'}, {'label': 'E', 'text': 'captivity'}], 'stem': 'If a lizard is fed by people every day, what has happened to it?'}",lizard,"If a lizard is fed by people every day, what has happened to it?","A: documentary, B: costa rica, C: garden, D: encouragement, E: captivity"
B,0e5c7c0cec5b693e52f74f5f879d84fb,"{'question_concept': 'crab', 'choices': [{'label': 'A', 'text': 'most offices'}, {'label': 'B', 'text': 'fish department'}, {'label': 'C', 'text': 'fancy restaurant'}, {'label': 'D', 'text': 'government submarine'}, {'label': 'E', 'text': 'chesapeake bay'}], 'stem': 'If you wanted a license to catch crabs, what government office would you go to?'}",crab,"If you wanted a license to catch crabs, what government office would you go to?","A: most offices, B: fish department, C: fancy restaurant, D: government submarine, E: chesapeake bay"
D,87505da761eaa5c3c4703d02a12d46bc,"{'question_concept': 'manchester', 'choices': [{'label': 'A', 'text': 'england'}, {'label': 'B', 'text': 'united kingdome'}, {'label': 'C', 'text': 'lancashire'}, {'label': 'D', 'text': 'greater manchester'}, {'label': 'E', 'text': 'cheshire'}], 'stem': 'What is the word added to Manchester that signifies what county it is in?'}",manchester,What is the word added to Manchester that signifies what county it is in?,"A: england, B: united kingdome, C: lancashire, D: greater manchester, E: cheshire"
A,0f0e339412f719a019bf373e6daf2530,"{'question_concept': 'ficus', 'choices': [{'label': 'A', 'text': 'shady places'}, {'label': 'B', 'text': 'screened porch'}, {'label': 'C', 'text': 'pots'}, {'label': 'D', 'text': 'ceramics'}, {'label': 'E', 'text': 'clay pot'}], 'stem': 'Ficus can be planted in a yard to make summer more bearable, what sort of areas do they create?'}",ficus,"Ficus can be planted in a yard to make summer more bearable, what sort of areas do they create?","A: shady places, B: screened porch, C: pots, D: ceramics, E: clay pot"
D,061f326d2a87a10da6316b55bd5522bd,"{'question_concept': 'hose', 'choices': [{'label': 'A', 'text': 'garden shed'}, {'label': 'B', 'text': 'hardware store'}, {'label': 'C', 'text': 'greenhouse'}, {'label': 'D', 'text': 'garage'}, {'label': 'E', 'text': 'in a van'}], 'stem': 'John bought a new water hose.  But he found his old one near his car.  Where did he find the old one?'}",hose,John bought a new water hose.  But he found his old one near his car.  Where did he find the old one?,"A: garden shed, B: hardware store, C: greenhouse, D: garage, E: in a van"
D,f8a9208665a4f2d64986940456b4b964,"{'question_concept': 'homeowner', 'choices': [{'label': 'A', 'text': 'own home'}, {'label': 'B', 'text': 'mail property tax payments'}, {'label': 'C', 'text': 'board windows'}, {'label': 'D', 'text': 'cut grass'}, {'label': 'E', 'text': 'receive mail'}], 'stem': 'The homeowner frowned at the price of gas, what did he have to do later?'}",homeowner,"The homeowner frowned at the price of gas, what did he have to do later?","A: own home, B: mail property tax payments, C: board windows, D: cut grass, E: receive mail"
C,1bf4c6b5bd870b1a079106e1e97e5d09,"{'question_concept': 'thoroughfare', 'choices': [{'label': 'A', 'text': 'move about'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'country'}, {'label': 'D', 'text': 'town'}, {'label': 'E', 'text': 'new york city'}], 'stem': 'A thoroughfare meandered through fields and woods, where was it passing though?'}",thoroughfare,"A thoroughfare meandered through fields and woods, where was it passing though?","A: move about, B: city, C: country, D: town, E: new york city"
A,aefa60233f3c5c4966f8ac22e901a1c7,"{'question_concept': 'roadway', 'choices': [{'label': 'A', 'text': 'neighborhood'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'fate'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'maps'}], 'stem': 'Sean was leaving work and took the roadway that led to his what?'}",roadway,Sean was leaving work and took the roadway that led to his what?,"A: neighborhood, B: city, C: fate, D: countryside, E: maps"
C,9221962ed3a6094e5c8f33785ce048cd,"{'question_concept': 'jellyfish', 'choices': [{'label': 'A', 'text': 'adriatic sea'}, {'label': 'B', 'text': 'mediterranean sea'}, {'label': 'C', 'text': 'hand'}, {'label': 'D', 'text': 'see'}, {'label': 'E', 'text': 'atlantic ocean'}], 'stem': 'What can you use to get a jellyfish?'}",jellyfish,What can you use to get a jellyfish?,"A: adriatic sea, B: mediterranean sea, C: hand, D: see, E: atlantic ocean"
E,2634468d21fa33a88cefe28a5d613f59,"{'question_concept': 'blowfish', 'choices': [{'label': 'A', 'text': 'cuba'}, {'label': 'B', 'text': 'styx'}, {'label': 'C', 'text': 'atlantic ocean'}, {'label': 'D', 'text': 'france'}, {'label': 'E', 'text': 'jungle'}], 'stem': 'The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?'}",blowfish,"The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?","A: cuba, B: styx, C: atlantic ocean, D: france, E: jungle"
D,d6c002d46d9bfa466637cec4a134f332,"{'question_concept': 'day', 'choices': [{'label': 'A', 'text': 'week'}, {'label': 'B', 'text': 'bright'}, {'label': 'C', 'text': 'night'}, {'label': 'D', 'text': 'twenty four'}, {'label': 'E', 'text': 'year'}], 'stem': 'How many hours are in a day?'}",day,How many hours are in a day?,"A: week, B: bright, C: night, D: twenty four, E: year"
B,80930e9df9ac4ad752749a54e7fc124f_1,"{'question_concept': 'house', 'choices': [{'label': 'A', 'text': 'city'}, {'label': 'B', 'text': 'subdivision'}, {'label': 'C', 'text': 'newspaper'}, {'label': 'D', 'text': 'residential area'}, {'label': 'E', 'text': 'street'}], 'stem': 'I house outside the center of a community is said to be where?'}",house,I house outside the center of a community is said to be where?,"A: city, B: subdivision, C: newspaper, D: residential area, E: street"
