iIndex,lAlignments,lEquations,lSolutions,sQuestion
32,"[64, 109, 146]",['X=((17.0+6.0)-16.0)'],[7.0], Carol was playing a trivia game. In the first round she scored 17 points and in the second round she scored 6 points. In the last round she lost 16 points. How many points did she have at the end of the game? 
34,"[80, 120, 136]",['X=((34.0+33.0)-4.0)'],[63.0]," For Halloween Janet and her sister combined the candy they received. Janet had 34 pieces of candy while her sister had 33. If they ate 4 pieces the first night, how many pieces do they have left? "
35,"[72, 97, 109]",['X=((39.0+38.0)-64.0)'],[13.0]," Haley and her mom were picking carrots from their garden. Haley picked 39 and her mother picked 38. If only 64 of the carrots were good, how many bad carrots did they have? "
36,"[12, 25, 85]",['X=((30.0+36.0)-10.0)'],[56.0]," There were 30 girls and 36 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? "
38,"[18, 45, 104]",['X=((29.0+11.0)-35.0)'],[5.0]," Dave had to wash 29 short sleeve shirts and 11 long sleeve shirts before school. If he had only washed 35 of them by the time school started, how many did he not wash? "
43,"[64, 109, 147]",['X=((16.0+33.0)-48.0)'],[1.0], Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? 
45,"[30, 48, 99]",['X=((33.0+23.0)-21.0)'],[35.0]," The school cafeteria ordered 33 red apples and 23 green apples for students lunches. But, if only 21 students wanted fruit, how many extra did the cafeteria end up with? "
46,"[18, 44, 103]",['X=((9.0+27.0)-20.0)'],[16.0]," Dave had to wash 9 short sleeve shirts and 27 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? "
48,"[76, 101, 113]",['X=((17.0+14.0)-24.0)'],[7.0]," Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? "
49,"[17, 37, 76]",['X=((41.0+28.0)-15.0)'],[54.0], A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? 
53,"[64, 109, 147]",['X=((16.0+33.0)-48.0)'],[1.0], Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? 
55,"[30, 48, 99]",['X=((33.0+23.0)-21.0)'],[35.0]," The school cafeteria ordered 33 red apples and 23 green apples for students lunches. But, if only 21 students wanted fruit, how many extra did the cafeteria end up with? "
56,"[18, 44, 103]",['X=((9.0+27.0)-20.0)'],[16.0]," Dave had to wash 9 short sleeve shirts and 27 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? "
58,"[76, 101, 113]",['X=((17.0+14.0)-24.0)'],[7.0]," Vanessa and her mom were picking carrots from their garden. Vanessa picked 17 and her mother picked 14. If only 24 of the carrots were good, how many bad carrots did they have? "
59,"[17, 37, 76]",['X=((41.0+28.0)-15.0)'],[54.0], A pet store had 41 siamese cats and 28 house cats. During a sale they sold 15 cats. How many cats do they have left? 
63,"[30, 47, 98]",['X=((8.0+43.0)-42.0)'],[9.0]," The school cafeteria ordered 8 red apples and 43 green apples for students lunches. But, if only 42 students wanted fruit, how many extra did the cafeteria end up with? "
65,"[17, 37, 76]",['X=((36.0+18.0)-26.0)'],[28.0], A pet store had 36 siamese cats and 18 house cats. During a sale they sold 26 cats. How many cats do they have left? 
66,"[74, 99, 111]",['X=((20.0+14.0)-19.0)'],[15.0]," Olivia and her mom were picking carrots from their garden. Olivia picked 20 and her mother picked 14. If only 19 of the carrots were good, how many bad carrots did they have? "
68,"[12, 24, 84]",['X=((6.0+48.0)-7.0)'],[47.0]," There were 6 girls and 48 boys trying out for the schools basketball team. If only 7 of them got called back, how many students didn't make the cut? "
69,"[55, 71, 106]",['X=((15.0+48.0)-12.0)'],[51.0], For the school bake sale Amy made pastries. She baked 15 cupcakes and 48 cookies. After the sale she had 12 to take back home. How many pastries did she sell? 
72,"[30, 48, 99]",['X=((37.0+45.0)-51.0)'],[31.0]," The school cafeteria ordered 37 red apples and 45 green apples for students lunches. But, if only 51 students wanted fruit, how many extra did the cafeteria end up with? "
74,"[12, 25, 85]",['X=((17.0+32.0)-10.0)'],[39.0]," There were 17 girls and 32 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? "
75,"[72, 97, 109]",['X=((38.0+47.0)-71.0)'],[14.0]," Nancy and her mom were picking carrots from their garden. Nancy picked 38 and her mother picked 47. If only 71 of the carrots were good, how many bad carrots did they have? "
76,"[47, 111, 128]",['X=((29.0+20.0)-34.0)'],[15.0]," A waiter at 'The Greasy Spoon' restaurant had 29 customers to wait on. During the lunch rush he added another 20 customers. If 34 of the customers didn't leave him a tip, how many customers did leave a tip? "
77,"[17, 44, 103]",['X=((10.0+25.0)-5.0)'],[30.0]," Tom had to wash 10 short sleeve shirts and 25 long sleeve shirts before school. If he had only washed 5 of them by the time school started, how many did he not wash? "
80,"[30, 47, 98]",['X=((6.0+15.0)-5.0)'],[16.0]," The school cafeteria ordered 6 red apples and 15 green apples for students lunches. But, if only 5 students wanted fruit, how many extra did the cafeteria end up with? "
84,"[80, 120, 135]",['X=((10.0+6.0)-9.0)'],[7.0]," For Halloween Katie and her sister combined the candy they received. Katie had 10 pieces of candy while her sister had 6. If they ate 9 pieces the first night, how many pieces do they have left? "
85,"[17, 37, 76]",['X=((15.0+49.0)-19.0)'],[45.0], A pet store had 15 siamese cats and 49 house cats. During a sale they sold 19 cats. How many cats do they have left? 
86,"[12, 24, 84]",['X=((9.0+14.0)-2.0)'],[21.0]," There were 9 girls and 14 boys trying out for the schools basketball team. If only 2 of them got called back, how many students didn't make the cut? "
89,"[47, 111, 128]",['X=((39.0+12.0)-49.0)'],[2.0]," A waiter at 'The Greasy Spoon' restaurant had 39 customers to wait on. During the lunch rush he added another 12 customers. If 49 of the customers didn't leave him a tip, how many customers did leave a tip? "
90,"[17, 37, 76]",['X=((19.0+45.0)-56.0)'],[8.0], A pet store had 19 siamese cats and 45 house cats. During a sale they sold 56 cats. How many cats do they have left? 
91,"[47, 111, 128]",['X=((26.0+27.0)-27.0)'],[26.0]," A waiter at 'The Greasy Spoon' restaurant had 26 customers to wait on. During the lunch rush he added another 27 customers. If 27 of the customers didn't leave him a tip, how many customers did leave a tip? "
94,"[80, 119, 135]",['X=((8.0+23.0)-8.0)'],[23.0]," For Halloween Katie and her sister combined the candy they received. Katie had 8 pieces of candy while her sister had 23. If they ate 8 pieces the first night, how many pieces do they have left? "
96,"[57, 73, 108]",['X=((41.0+31.0)-32.0)'],[40.0], For the school bake sale Wendy made pastries. She baked 41 cupcakes and 31 cookies. After the sale she had 32 to take back home. How many pastries did she sell? 
97,"[30, 48, 99]",['X=((25.0+17.0)-10.0)'],[32.0]," The school cafeteria ordered 25 red apples and 17 green apples for students lunches. But, if only 10 students wanted fruit, how many extra did the cafeteria end up with? "
100,"[37, 86, 62]",['X=((30.0+28.0)-9.0)'],[49.0]," For the school bake sale Carol made 30 cupcakes. If she sold 9 of them and then made 28 more, how many cupcakes would she have? "
101,"[27, 110, 55]",['X=((47.0+40.0)-25.0)'],[62.0], For Halloween Faye scored 47 pieces of candy. She ate 25 pieces the first night and then her sister gave her 40 more pieces. How many pieces of candy does Faye have now? 
103,"[28, 102, 82]",['X=((10.0+42.0)-4.0)'],[48.0], In fourth grade there were 10 students at the start of the year. During the year 4 students left and 42 new students came to school. How many students were in fourth grade at the end? 
106,"[15, 72, 52]",['X=((6.0+18.0)-4.0)'],[20.0]," A teacher had 6 worksheets to grade. If she graded 4, but then another 18 were turned in, how many worksheets would she have to grade? "
107,"[18, 82, 59]",['X=((41.0+2.0)-33.0)'],[10.0]," A book store had 41 books in the bargin bin. If they sold 33 books, but then put 2 more in the bin, how many books would be in the bin? "
108,"[14, 79, 42]",['X=((19.0+36.0)-14.0)'],[41.0]," A waiter had 19 customers to wait on. If 14 customers left and he got another 36 customers, how many customers would he have? "
109,"[24, 109, 65]",['X=((9.0+3.0)-6.0)'],[6.0]," At the fair there were 9 people in line for the bumper cars. If 6 of them got tired of waiting and left and 3 more got in line, how many people would be in line? "
110,"[15, 72, 52]",['X=((7.0+46.0)-2.0)'],[51.0]," A teacher had 7 worksheets to grade. If she graded 2, but then another 46 were turned in, how many worksheets would she have to grade? "
112,"[14, 86, 59]",['X=((48.0+15.0)-11.0)'],[52.0]," Maria picked 48 carrots from her garden. If she threw out 11 of them and then picked 15 more the next day, how many carrots would she have total? "
113,"[13, 80, 53]",['X=((34.0+13.0)-20.0)'],[27.0], A store had 34 oranges in a bin. If they threw away 20 of the old ones and put 13 new ones in the bin how many would be in the bin? 
114,"[14, 79, 42]",['X=((47.0+20.0)-41.0)'],[26.0]," A waiter had 47 customers to wait on. If 41 customers left and he got another 20 customers, how many customers would he have? "
115,"[28, 103, 82]",['X=((33.0+14.0)-18.0)'],[29.0], In fourth grade there were 33 students at the start of the year. During the year 18 students left and 14 new students came to school. How many students were in fourth grade at the end? 
116,"[37, 87, 62]",['X=((26.0+20.0)-20.0)'],[26.0]," For the school bake sale Katie made 26 cupcakes. If she sold 20 of them and then made 20 more, how many cupcakes would she have? "
118,"[42, 109, 88]",['X=((43.0+27.0)-14.0)'],[56.0]," Tiffany was playing a video game and had 43 lives. In a hard part of the game she lost 14 lives. If she got 27 more lives in the next level, how many lives would she have? "
119,"[24, 111, 66]",['X=((12.0+15.0)-10.0)'],[17.0]," At the fair there were 12 people in line for the bumper cars. If 10 of them got tired of waiting and left and 15 more got in line, how many people would be in line? "
120,"[14, 78, 42]",['X=((14.0+39.0)-3.0)'],[50.0]," A waiter had 14 customers to wait on. If 3 customers left and he got another 39 customers, how many customers would he have? "
121,"[24, 111, 66]",['X=((30.0+5.0)-10.0)'],[25.0]," At the fair there were 30 people in line for the bumper cars. If 10 of them got tired of waiting and left and 5 more got in line, how many people would be in line? "
124,"[15, 73, 53]",['X=((38.0+15.0)-4.0)'],[49.0]," A teacher had 38 worksheets to grade. If she graded 4, but then another 15 were turned in, how many worksheets would she have to grade? "
125,"[28, 103, 82]",['X=((40.0+26.0)-14.0)'],[52.0], In fourth grade there were 40 students at the start of the year. During the year 14 students left and 26 new students came to school. How many students were in fourth grade at the end? 
126,"[40, 106, 86]",['X=((43.0+39.0)-8.0)'],[74.0]," Wendy was playing a video game and had 43 lives. In a hard part of the game she lost 8 lives. If she got 39 more lives in the next level, how many lives would she have? "
127,"[18, 80, 58]",['X=((4.0+10.0)-3.0)'],[11.0]," A book store had 4 books in the bargin bin. If they sold 3 books, but then put 10 more in the bin, how many books would be in the bin? "
129,"[38, 87, 63]",['X=((14.0+17.0)-6.0)'],[25.0]," For the school bake sale Bianca made 14 cupcakes. If she sold 6 of them and then made 17 more, how many cupcakes would she have? "
133,"[13, 79, 53]",['X=((31.0+38.0)-9.0)'],[60.0], A store had 31 oranges in a bin. If they threw away 9 of the old ones and put 38 new ones in the bin how many would be in the bin? 
135,"[24, 110, 66]",['X=((10.0+2.0)-2.0)'],[10.0]," At the fair there were 10 people in line for the bumper cars. If 2 of them got tired of waiting and left and 2 more got in line, how many people would be in line? "
136,"[26, 100, 50]",['X=((38.0+28.0)-20.0)'],[46.0]," The school cafeteria had 38 apples. If they used 20 to make lunch for the students and then bought 28 more, how many apples would they have? "
137,"[12, 77, 39]",['X=((28.0+36.0)-4.0)'],[60.0]," George had 28 socks. If he threw away 4 old ones that didn't fit and bought 36 new ones, how many socks would he have? "
138,"[28, 110, 56]",['X=((23.0+21.0)-7.0)'],[37.0], For Halloween Robin scored 23 pieces of candy. She ate 7 pieces the first night and then her sister gave her 21 more pieces. How many pieces of candy does Robin have now? 
139,"[41, 107, 87]",['X=((10.0+26.0)-4.0)'],[32.0]," Rachel was playing a video game and had 10 lives. In a hard part of the game she lost 4 lives. If she got 26 more lives in the next level, how many lives would she have? "
141,"[28, 111, 56]",['X=((33.0+19.0)-17.0)'],[35.0], For Halloween Haley scored 33 pieces of candy. She ate 17 pieces the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now? 
142,"[26, 100, 50]",['X=((14.0+49.0)-13.0)'],[50.0]," The school cafeteria had 14 apples. If they used 13 to make lunch for the students and then bought 49 more, how many apples would they have? "
144,"[15, 74, 53]",['X=((29.0+29.0)-25.0)'],[33.0]," A teacher had 29 worksheets to grade. If she graded 25, but then another 29 were turned in, how many worksheets would she have to grade? "
145,"[28, 103, 82]",['X=((35.0+10.0)-10.0)'],[35.0], In fourth grade there were 35 students at the start of the year. During the year 10 students left and 10 new students came to school. How many students were in fourth grade at the end? 
146,"[37, 86, 62]",['X=((19.0+27.0)-6.0)'],[40.0]," For the school bake sale Carol made 19 cupcakes. If she sold 6 of them and then made 27 more, how many cupcakes would she have? "
147,"[13, 80, 53]",['X=((40.0+7.0)-37.0)'],[10.0], A store had 40 oranges in a bin. If they threw away 37 of the old ones and put 7 new ones in the bin how many would be in the bin? 
149,"[14, 86, 59]",['X=((48.0+42.0)-45.0)'],[45.0]," Chloe picked 48 carrots from her garden. If she threw out 45 of them and then picked 42 more the next day, how many carrots would she have total? "
150,"[9, 74, 36]",['X=((10.0+36.0)-3.0)'],[43.0]," Sam had 10 socks. If he threw away 3 old ones that didn't fit and bought 36 new ones, how many socks would he have? "
152,"[15, 73, 53]",['X=((34.0+36.0)-7.0)'],[63.0]," A teacher had 34 worksheets to grade. If she graded 7, but then another 36 were turned in, how many worksheets would she have to grade? "
153,"[24, 109, 65]",['X=((7.0+8.0)-4.0)'],[11.0]," At the fair there were 7 people in line for the bumper cars. If 4 of them got tired of waiting and left and 8 more got in line, how many people would be in line? "
157,"[26, 100, 50]",['X=((23.0+6.0)-20.0)'],[9.0]," The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? "
158,"[40, 107, 86]",['X=((38.0+32.0)-16.0)'],[54.0]," Janet was playing a video game and had 38 lives. In a hard part of the game she lost 16 lives. If she got 32 more lives in the next level, how many lives would she have? "
159,"[14, 85, 59]",['X=((19.0+46.0)-4.0)'],[61.0]," Megan picked 19 carrots from her garden. If she threw out 4 of them and then picked 46 more the next day, how many carrots would she have total? "
161,"[26, 99, 50]",['X=((17.0+23.0)-2.0)'],[38.0]," The school cafeteria had 17 apples. If they used 2 to make lunch for the students and then bought 23 more, how many apples would they have? "
162,"[40, 107, 86]",['X=((47.0+46.0)-23.0)'],[70.0]," Janet was playing a video game and had 47 lives. In a hard part of the game she lost 23 lives. If she got 46 more lives in the next level, how many lives would she have? "
163,"[14, 85, 59]",['X=((12.0+21.0)-2.0)'],[31.0]," Nancy picked 12 carrots from her garden. If she threw out 2 of them and then picked 21 more the next day, how many carrots would she have total? "
166,"[10, 76, 37]",['X=((33.0+13.0)-19.0)'],[27.0]," John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have? "
167,"[37, 86, 62]",['X=((19.0+10.0)-5.0)'],[24.0]," For the school bake sale Maria made 19 cupcakes. If she sold 5 of them and then made 10 more, how many cupcakes would she have? "
168,"[13, 80, 53]",['X=((50.0+24.0)-40.0)'],[34.0], A store had 50 oranges in a bin. If they threw away 40 of the old ones and put 24 new ones in the bin how many would be in the bin? 
169,"[28, 101, 81]",['X=((8.0+8.0)-5.0)'],[11.0], In fourth grade there were 8 students at the start of the year. During the year 5 students left and 8 new students came to school. How many students were in fourth grade at the end? 
170,"[15, 87, 60]",['X=((23.0+47.0)-10.0)'],[60.0]," Bianca picked 23 carrots from her garden. If she threw out 10 of them and then picked 47 more the next day, how many carrots would she have total? "
173,"[13, 78, 52]",['X=((5.0+28.0)-2.0)'],[31.0], A store had 5 oranges in a bin. If they threw away 2 of the old ones and put 28 new ones in the bin how many would be in the bin? 
175,"[28, 102, 82]",['X=((31.0+11.0)-5.0)'],[37.0], In fourth grade there were 31 students at the start of the year. During the year 5 students left and 11 new students came to school. How many students were in fourth grade at the end? 
176,"[37, 87, 62]",['X=((42.0+39.0)-22.0)'],[59.0]," For the school bake sale Robin made 42 cupcakes. If she sold 22 of them and then made 39 more, how many cupcakes would she have? "
179,"[40, 106, 86]",['X=((14.0+36.0)-4.0)'],[46.0]," Haley was playing a video game and had 14 lives. In a hard part of the game she lost 4 lives. If she got 36 more lives in the next level, how many lives would she have? "
181,"[40, 107, 86]",['X=((42.0+24.0)-25.0)'],[41.0]," Emily was playing a video game and had 42 lives. In a hard part of the game she lost 25 lives. If she got 24 more lives in the next level, how many lives would she have? "
183,"[26, 99, 50]",['X=((12.0+19.0)-8.0)'],[23.0]," The school cafeteria had 12 apples. If they used 8 to make lunch for the students and then bought 19 more, how many apples would they have? "
184,"[24, 111, 66]",['X=((31.0+25.0)-25.0)'],[31.0]," At the fair there were 31 people in line for the bumper cars. If 25 of them got tired of waiting and left and 25 more got in line, how many people would be in line? "
188,"[14, 79, 42]",['X=((33.0+26.0)-31.0)'],[28.0]," A waiter had 33 customers to wait on. If 31 customers left and he got another 26 customers, how many customers would he have? "
189,"[28, 102, 82]",['X=((11.0+42.0)-6.0)'],[47.0], In fourth grade there were 11 students at the start of the year. During the year 6 students left and 42 new students came to school. How many students were in fourth grade at the end? 
190,"[12, 77, 39]",['X=((11.0+26.0)-4.0)'],[33.0]," Oliver had 11 socks. If he threw away 4 old ones that didn't fit and bought 26 new ones, how many socks would he have? "
191,"[13, 80, 53]",['X=((40.0+21.0)-25.0)'],[36.0], A store had 40 oranges in a bin. If they threw away 25 of the old ones and put 21 new ones in the bin how many would be in the bin? 
193,"[28, 101, 81]",['X=((4.0+42.0)-3.0)'],[43.0], In fourth grade there were 4 students at the start of the year. During the year 3 students left and 42 new students came to school. How many students were in fourth grade at the end? 
194,"[14, 86, 59]",['X=((28.0+9.0)-11.0)'],[26.0]," Haley picked 28 carrots from her garden. If she threw out 11 of them and then picked 9 more the next day, how many carrots would she have total? "
197,"[40, 106, 86]",['X=((10.0+37.0)-6.0)'],[41.0]," Wendy was playing a video game and had 10 lives. In a hard part of the game she lost 6 lives. If she got 37 more lives in the next level, how many lives would she have? "
199,"[37, 87, 62]",['X=((28.0+8.0)-25.0)'],[11.0]," For the school bake sale Chloe made 28 cupcakes. If she sold 25 of them and then made 8 more, how many cupcakes would she have? "
202,"[14, 47, 59]",['X=(9.0*(7.0+3.0))'],[90.0]," A waiter had 9 tables he was waiting on, with 7 women and 3 men at each table. How many customers total did the waiter have? "
205,"[49, 100, 135]",['X=(5.0*(4.0+3.0))'],[35.0]," Wendy was playing a video game where she scores 5 points for each treasure she finds. If she found 4 treasures on the first level and 3 on the second, what would her score be? "
206,"[106, 12, 55]",['X=(7.0*(7.0+2.0))'],[63.0]," There were 7 friends playing a video game online when 2 more players joined the game. If each player had 7 lives, how many lives did they have total? "
207,"[86, 13, 44]",['X=(9.0*(6.0+4.0))'],[90.0]," Paul bought 6 boxes of chocolate candy and 4 boxes of caramel candy. If each box has 9 pieces inside it, how much candy did he have total? "
208,"[17, 48, 62]",['X=(6.0*(6.0+2.0))'],[48.0]," A pet store has 6 bird cages. If each cage has 6 parrots and 2 parakeets in it, how many birds does the pet store have total? "
211,"[17, 48, 62]",['X=(9.0*(2.0+2.0))'],[36.0]," A pet store has 9 bird cages. If each cage has 2 parrots and 2 parakeets in it, how many birds does the pet store have total? "
212,"[86, 13, 44]",['X=(8.0*(7.0+3.0))'],[80.0]," Cody bought 7 boxes of chocolate candy and 3 boxes of caramel candy. If each box has 8 pieces inside it, how much candy did he have total? "
213,"[94, 36, 49]",['X=(3.0*(2.0+5.0))'],[21.0]," At Billy's Restaurant a group with 2 adults and 5 children came in to eat. If each meal cost 3 dollars, how much was the bill? "
214,"[126, 63, 97]",['X=(8.0*(6.0+3.0))'],[72.0]," Paul was collecting cans for recycling. On Saturday he filled 6 bags up and on Sunday he filled 3 more bags. If each bag had 8 cans in it, how many cans did he pick up total? "
215,"[153, 44, 86]",['X=(5.0*(5.0+5.0))'],[50.0]," While playing a trivia game, Adam answered 5 questions correct in the first half and 5 questions correct in the second half. If each question was worth 5 points, what was his final score? "
220,"[48, 99, 134]",['X=(7.0*(2.0+6.0))'],[56.0]," Faye was playing a video game where she scores 7 points for each treasure she finds. If she found 2 treasures on the first level and 6 on the second, what would her score be? "
222,"[106, 12, 55]",['X=(6.0*(2.0+2.0))'],[24.0]," There were 2 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? "
223,"[72, 14, 31]",['X=(6.0*(4.0+4.0))'],[48.0]," Wendy bought 4 new chairs and 4 new tables for her house. If she spent 6 minutes on each piece furniture putting it together, how many minutes did it take her to finish? "
226,"[125, 62, 96]",['X=(6.0*(4.0+3.0))'],[42.0]," Sam was collecting cans for recycling. On Saturday he filled 4 bags up and on Sunday he filled 3 more bags. If each bag had 6 cans in it, how many cans did he pick up total? "
228,"[154, 45, 87]",['X=(3.0*(3.0+2.0))'],[15.0]," While playing a trivia game, Frank answered 3 questions correct in the first half and 2 questions correct in the second half. If each question was worth 3 points, what was his final score? "
233,"[17, 48, 62]",['X=(6.0*(2.0+7.0))'],[54.0]," A pet store has 6 bird cages. If each cage has 2 parrots and 7 parakeets in it, how many birds does the pet store have total? "
234,"[72, 14, 31]",['X=(8.0*(2.0+2.0))'],[32.0]," Maria bought 2 new chairs and 2 new tables for her house. If she spent 8 minutes on each piece furniture putting it together, how many minutes did it take her to finish? "
235,"[50, 101, 136]",['X=(8.0*(2.0+2.0))'],[32.0]," Olivia was playing a video game where she scores 8 points for each treasure she finds. If she found 2 treasures on the first level and 2 on the second, what would her score be? "
236,"[14, 47, 59]",['X=(6.0*(3.0+5.0))'],[48.0]," A waiter had 6 tables he was waiting on, with 3 women and 5 men at each table. How many customers total did the waiter have? "
239,"[106, 12, 55]",['X=(8.0*(5.0+2.0))'],[56.0]," There were 5 friends playing a video game online when 2 more players joined the game. If each player had 8 lives, how many lives did they have total? "
242,"[153, 44, 86]",['X=(3.0*(3.0+5.0))'],[24.0]," While playing a trivia game, Mike answered 3 questions correct in the first half and 5 questions correct in the second half. If each question was worth 3 points, what was his final score? "
243,"[47, 98, 133]",['X=(4.0*(6.0+2.0))'],[32.0]," Amy was playing a video game where she scores 4 points for each treasure she finds. If she found 6 treasures on the first level and 2 on the second, what would her score be? "
244,"[14, 47, 59]",['X=(9.0*(4.0+3.0))'],[63.0]," A waiter had 9 tables he was waiting on, with 4 women and 3 men at each table. How many customers total did the waiter have? "
247,"[95, 37, 50]",['X=(3.0*(2.0+4.0))'],[18.0]," At Oliver's Restaurant a group with 2 adults and 4 children came in to eat. If each meal cost 3 dollars, how much was the bill? "
251,"[106, 12, 55]",['X=(3.0*(2.0+2.0))'],[12.0]," There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? "
252,"[86, 13, 44]",['X=(4.0*(2.0+5.0))'],[28.0]," Adam bought 2 boxes of chocolate candy and 5 boxes of caramel candy. If each box has 4 pieces inside it, how much candy did he have total? "
253,"[17, 48, 62]",['X=(8.0*(2.0+7.0))'],[72.0]," A pet store has 8 bird cages. If each cage has 2 parrots and 7 parakeets in it, how many birds does the pet store have total? "
255,"[92, 34, 47]",['X=(8.0*(2.0+5.0))'],[56.0]," At Tom's Restaurant a group with 2 adults and 5 children came in to eat. If each meal cost 8 dollars, how much was the bill? "
259,"[50, 101, 136]",['X=(9.0*(5.0+2.0))'],[63.0]," Rachel was playing a video game where she scores 9 points for each treasure she finds. If she found 5 treasures on the first level and 2 on the second, what would her score be? "
261,"[17, 48, 62]",['X=(9.0*(2.0+6.0))'],[72.0]," A pet store has 9 bird cages. If each cage has 2 parrots and 6 parakeets in it, how many birds does the pet store have total? "
263,"[106, 12, 55]",['X=(8.0*(2.0+2.0))'],[32.0]," There were 2 friends playing a video game online when 2 more players joined the game. If each player had 8 lives, how many lives did they have total? "
264,"[14, 47, 59]",['X=(7.0*(7.0+2.0))'],[63.0]," A waiter had 7 tables he was waiting on, with 7 women and 2 men at each table. How many customers total did the waiter have? "
265,"[51, 102, 137]",['X=(6.0*(3.0+5.0))'],[48.0]," Tiffany was playing a video game where she scores 6 points for each treasure she finds. If she found 3 treasures on the first level and 5 on the second, what would her score be? "
269,"[127, 64, 98]",['X=(5.0*(5.0+3.0))'],[40.0]," Frank was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 3 more bags. If each bag had 5 cans in it, how many cans did he pick up total? "
272,"[73, 15, 32]",['X=(4.0*(7.0+3.0))'],[40.0]," Rachel bought 7 new chairs and 3 new tables for her house. If she spent 4 minutes on each piece furniture putting it together, how many minutes did it take her to finish? "
273,"[153, 44, 86]",['X=(8.0*(8.0+2.0))'],[80.0]," While playing a trivia game, Adam answered 8 questions correct in the first half and 2 questions correct in the second half. If each question was worth 8 points, what was his final score? "
274,"[17, 48, 62]",['X=(4.0*(8.0+2.0))'],[40.0]," A pet store has 4 bird cages. If each cage has 8 parrots and 2 parakeets in it, how many birds does the pet store have total? "
275,"[127, 64, 98]",['X=(4.0*(5.0+5.0))'],[40.0]," Kaleb was collecting cans for recycling. On Saturday he filled 5 bags up and on Sunday he filled 5 more bags. If each bag had 4 cans in it, how many cans did he pick up total? "
278,"[49, 100, 135]",['X=(9.0*(6.0+3.0))'],[81.0]," Chloe was playing a video game where she scores 9 points for each treasure she finds. If she found 6 treasures on the first level and 3 on the second, what would her score be? "
282,"[14, 47, 59]",['X=(5.0*(5.0+3.0))'],[40.0]," A waiter had 5 tables he was waiting on, with 5 women and 3 men at each table. How many customers total did the waiter have? "
283,"[106, 12, 55]",['X=(6.0*(8.0+2.0))'],[60.0]," There were 8 friends playing a video game online when 2 more players joined the game. If each player had 6 lives, how many lives did they have total? "
284,"[125, 62, 96]",['X=(9.0*(3.0+4.0))'],[63.0]," Sam was collecting cans for recycling. On Saturday he filled 3 bags up and on Sunday he filled 4 more bags. If each bag had 9 cans in it, how many cans did he pick up total? "
290,"[155, 46, 88]",['X=(3.0*(6.0+4.0))'],[30.0]," While playing a trivia game, George answered 6 questions correct in the first half and 4 questions correct in the second half. If each question was worth 3 points, what was his final score? "
294,"[127, 64, 98]",['X=(4.0*(4.0+6.0))'],[40.0]," Kaleb was collecting cans for recycling. On Saturday he filled 4 bags up and on Sunday he filled 6 more bags. If each bag had 4 cans in it, how many cans did he pick up total? "
296,"[72, 14, 31]",['X=(8.0*(4.0+2.0))'],[48.0]," Emily bought 4 new chairs and 2 new tables for her house. If she spent 8 minutes on each piece furniture putting it together, how many minutes did it take her to finish? "
297,"[14, 47, 59]",['X=(9.0*(2.0+6.0))'],[72.0]," A waiter had 9 tables he was waiting on, with 2 women and 6 men at each table. How many customers total did the waiter have? "
298,"[106, 12, 55]",['X=(3.0*(4.0+5.0))'],[27.0]," There were 4 friends playing a video game online when 5 more players joined the game. If each player had 3 lives, how many lives did they have total? "
300,"[29, 41, 91]",['X=((26.0+46.0)/9.0)'],[8.0], The schools debate team had 26 boys and 46 girls on it. If they were split into groups of 9 how many groups could they make? 
303,"[77, 107, 43]",['X=((13.0+41.0)/9.0)'],[6.0]," Olivia was making baggies of cookies with 9 cookies in each bag. If she had 13 chocolate chip cookies and 41 oatmeal cookies, how many baggies could she make? "
305,"[34, 53, 113]",['X=((48.0+6.0)/6.0)'],[9.0]," There school's baseball team had 48 new players and 6 returning players. If the coach put them into groups with 6 players in each group, how many groups would there be? "
306,"[35, 56, 101]",['X=((41.0+22.0)/9.0)'],[7.0]," For a birthday party Jerry bought 41 regular sodas and 22 diet sodas. If his fridge would only hold 9 on each shelf, how many shelves would he fill up? "
307,"[135, 170, 71]",['X=((14.0+2.0)/4.0)'],[4.0]," Paige and her friends were recycling paper for their class. For every 4 pounds they recycled they earned one point. If Paige recycled 14 pounds and her friends recycled 2 pounds, how many points did they earn? "
